,pet
0,6.4953131675720215
1,11.845304489135742
2,23.2154541015625
3,47.408355712890625
4,69.19393920898438
5,112.70602416992188
6,137.98184204101562
7,131.85244750976562
8,90.179443359375
9,58.574398040771484
10,23.880401611328125
11,15.161212921142578
12,6.866105556488037
13,5.405223846435547
14,23.53925323486328
15,44.13893127441406
16,94.07193756103516
17,124.44173431396484
18,143.11363220214844
19,118.23635864257812
20,84.50709533691406
21,51.500282287597656
22,20.763307571411133
23,5.759226322174072
24,7.32208776473999
25,12.397042274475098
26,21.258264541625977
27,55.87071990966797
28,84.62836456298828
29,113.25857543945312
30,165.41302490234375
31,113.29932403564453
32,94.20667266845703
33,62.393409729003906
34,27.68272590637207
35,19.00162124633789
36,18.96123695373535
37,22.26813316345215
38,33.62828826904297
39,73.19376373291016
40,92.80937957763672
41,117.42463684082031
42,145.99703979492188
43,122.66507720947266
44,79.50465393066406
45,51.49179458618164
46,23.801591873168945
47,12.087239265441895
48,15.690417289733887
49,16.79351806640625
50,27.19614028930664
51,51.309452056884766
52,93.00538635253906
53,119.78794860839844
54,140.25062561035156
55,138.06832885742188
56,83.55402374267578
57,59.601829528808594
58,26.797937393188477
59,10.836406707763672
60,10.708163261413574
61,12.312915802001953
62,32.54298782348633
63,61.89567947387695
64,104.88213348388672
65,118.09996795654297
66,152.3110809326172
67,156.22372436523438
68,100.17022705078125
69,54.4657096862793
70,29.20825958251953
71,13.082416534423828
72,7.227742671966553
73,14.50680923461914
74,27.185468673706055
75,56.85003662109375
76,82.04015350341797
77,117.35287475585938
78,155.2865447998047
79,120.81194305419922
80,83.84150695800781
81,48.94176483154297
82,27.262863159179688
83,10.706514358520508
84,13.831206321716309
85,17.48992919921875
86,31.46221923828125
87,68.54078674316406
88,101.899169921875
89,127.02752685546875
90,133.6299285888672
91,145.17933654785156
92,109.51557159423828
93,56.310359954833984
94,32.5906982421875
95,20.799659729003906
96,15.036688804626465
97,8.320393562316895
98,50.94696807861328
99,55.9848747253418
100,88.87965393066406
101,134.16064453125
102,154.11805725097656
103,157.02886962890625
104,93.76336669921875
105,62.83274841308594
106,35.16205596923828
107,12.838394165039062
108,13.41767692565918
109,11.952351570129395
110,30.5899715423584
111,67.42095184326172
112,83.54560089111328
113,115.53501892089844
114,155.20960998535156
115,143.2874298095703
116,95.94091033935547
117,67.57414245605469
118,33.39631271362305
119,21.580678939819336
120,25.224123001098633
121,30.19973373413086
122,47.5490837097168
123,58.63972854614258
124,73.46372985839844
125,117.08030700683594
126,122.06527709960938
127,112.31791687011719
128,79.53728485107422
129,58.68972396850586
130,30.56325912475586
131,14.765371322631836
132,12.310922622680664
133,10.318679809570312
134,27.004375457763672
135,46.8707275390625
136,82.1866226196289
137,119.26691436767578
138,162.5601043701172
139,135.24755859375
140,80.496826171875
141,46.296844482421875
142,25.729711532592773
143,14.161527633666992
144,11.46103572845459
145,17.94432830810547
146,25.37004852294922
147,55.434837341308594
148,73.68619537353516
149,107.78678131103516
150,142.82708740234375
151,129.77857971191406
152,91.68280029296875
153,46.6744384765625
154,21.92181396484375
155,13.42251968383789
156,3.377656936645508
157,17.72121238708496
158,39.339752197265625
159,49.36487579345703
160,84.9615249633789
161,130.52308654785156
162,146.60020446777344
163,146.95082092285156
164,69.40016174316406
165,50.257572174072266
166,16.497089385986328
167,9.147137641906738
168,15.82331657409668
169,2.5356595516204834
170,20.272296905517578
171,64.87887573242188
172,90.41520690917969
173,116.04933166503906
174,146.0874481201172
175,136.530029296875
176,94.84131622314453
177,58.77848434448242
178,23.162294387817383
179,10.269084930419922
180,5.338521480560303
181,19.228084564208984
182,33.099632263183594
183,45.10006332397461
184,57.41447830200195
185,134.93765258789062
186,144.91346740722656
187,143.5998077392578
188,86.36903381347656
189,54.82082748413086
190,24.099103927612305
191,15.269338607788086
192,13.665283203125
193,19.59964370727539
194,24.22808837890625
195,53.29336929321289
196,85.7467041015625
197,105.4662857055664
